2013-10-29 07:43:39: 
2013-10-29 07:43:39: System configuration: lcpu=20 mem=24576MB ent=0.50
2013-10-29 07:43:39: 
2013-10-29 07:43:39: kthr    memory              page              faults              cpu
2013-10-29 07:43:39: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:43:39: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:58:03: 2  0 3193874 1180397   0   0   0   0    0   0   0 1039 1285  0  1 98  0  0.02   3.4
2013-10-29 07:58:09: 1  0 3193891 1180380   0   0   0   0    0   0   2 1213 1295  7  1 91  0  0.07  14.7
2013-10-29 07:58:15: 1  0 3193891 1180363   0   0   0   0    0   0   8 1436 1268 22  2 76  0  0.20  39.2
2013-10-29 07:58:21: 2  0 3193891 1180309   0   0   0   0    0   0  57 69327 1297  6  3 90  0  0.08  15.7
2013-10-29 07:58:27: 2  0 3193891 1180158   0   0   0   0    0   0 122 56237 1475 12  4 85  0  0.13  25.6
2013-10-29 07:58:33: 1  0 3193891 1180158   0   0   0   0    0   0   1 1136 1338  3  1 95  0  0.04   8.4
2013-10-29 07:58:39: 0  0 3193891 1180158   0   0   0   0    0   0   5 1122 1294  1  1 98  0  0.02   4.1
2013-10-29 07:58:45: 0  0 3193891 1180157   0   0   0   0    0   0  61 1093 1341  1  3 97  0  0.03   6.4
2013-10-29 07:58:51: 14  0 3193891 1180145   0   0   0   0    0   0   3 290085 44455 87  5  8  0  0.69 138.7
2013-10-29 07:58:57: 1  0 3193891 1180121   0   0   0   0    0   0  13 2200 1272 29  2 69  0  0.26  51.3
2013-10-29 07:59:03: 9  0 3193891 1180104   0   0   0   0    0   0   8 1390 1355 15  2 83  0  0.14  27.7
2013-10-29 07:59:09: 0  0 3193891 1180104   0   0   0   0    0   0   1 7797 1216  1  1 98  0  0.02   4.3
2013-10-29 07:59:15: 1  0 3193891 1180104   0   0   0   0    0   0   6 8154 1342 25  2 72  0  0.22  44.7
2013-10-29 07:59:21: 19  0 3193891 1180104   0   0   0   0    0   0   6 298524 121384 84  7  9  0  0.79 157.2
2013-10-29 07:59:27: 1  0 3193891 1180104   0   0   0   0    0   0   9 15085 1366 28  3 70  0  0.25  49.1
2013-10-29 07:59:33: 1  0 3193891 1180104   0   0   0   0    0   0   6 14481 1349 28  3 69  0  0.25  49.5
2013-10-29 07:59:39: kthr    memory              page              faults              cpu
2013-10-29 07:59:39: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 07:59:39: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 07:59:39: 12  0 3193891 1180103   0   0   0   0    0   0   8 198589 15592 80  6 14  0  0.48  96.0
2013-10-29 07:59:45: 21  0 3193891 1180102   0   0   0   0    0   0  63 1863 1645 58  4 38  0  0.40  79.4
2013-10-29 07:59:51: 1  0 3193891 1180087   0   0   0   0    0   0   7 14832 1303 24  2 74  0  0.21  42.0
2013-10-29 07:59:57: 1  0 3193891 1180087   0   0   0   0    0   0   5 5404 1290 28  2 70  0  0.24  48.7
2013-10-29 08:00:03: 22  0 3193891 1180087   0   0   0   0    0   0   3 59723 20325 50  3 46  0  0.32  64.1
2013-10-29 08:00:09: 20  0 3193891 1180087   0   0   0   0    0   0   1 221471 16671 82  6 12  0  0.48  96.4
2013-10-29 08:00:15: 7  0 3193891 1180087   0   0   0   0    0   0   4 1455 1280 22  3 75  0  0.20  40.3
2013-10-29 08:00:21: 7  0 3193891 1180087   0   0   0   0    0   0   4 1366 1325 15  2 83  0  0.14  27.8
2013-10-29 08:00:27: 5  0 3193891 1180087   0   0   0   0    0   0   7 1580 1344 16  2 82  0  0.15  29.6
2013-10-29 08:00:33: 9  0 3193891 1180084   0   0   0   0    0   0   3 1425 1267 20  2 77  0  0.18  36.8
2013-10-29 08:00:39: 11  0 3193891 1180084   0   0   0   0    0   0   3 1166 1218  1  2 97  0  0.03   5.7
2013-10-29 08:00:45: 9  0 3193891 1180082   0   0   0   0    0   0  56 1197 1317  7  3 89  0  0.09  17.7
2013-10-29 08:00:51: 10  0 3193891 1180082   0   0   0   0    0   0   1 1057 1295  1  2 98  0  0.03   5.1
2013-10-29 08:00:57: 7  0 3193891 1180082   0   0   0   0    0   0   0 1077 1219  1  2 97  0  0.03   5.3
2013-10-29 08:01:03: 9  0 3193891 1180082   0   0   0   0    0   0   0 1049 1278  1  2 98  0  0.02   4.6
2013-10-29 08:01:09: 10  0 3193891 1180082   0   0   0   0    0   0   1 1094 1170  1  2 97  0  0.03   5.0
2013-10-29 08:01:15: 14  0 3193891 1180082   0   0   0   0    0   0   0 1049 1182  1  2 98  0  0.02   4.3
2013-10-29 08:01:21: 13  0 3193891 1180082   0   0   0   0    0   0   1 1093 1246  1  2 98  0  0.02   4.7
2013-10-29 08:01:27: 9  0 3193891 1180082   0   0   0   0    0   0   4 1247 1234  1  2 97  0  0.03   5.7
2013-10-29 08:01:33: 8  0 3193891 1180082   0   0   0   0    0   0   1 1050 1255  1  2 98  0  0.02   4.9
2013-10-29 08:01:39: kthr    memory              page              faults              cpu
2013-10-29 08:01:39: ----- ----------- ------------------------ ------------ -----------------------
2013-10-29 08:01:39: r  b   avm   fre  re  pi  po  fr   sr  cy  in   sy  cs us sy id wa    pc    ec
2013-10-29 08:01:39: 10  0 3193891 1180082   0   0   0   0    0   0   4 1090 1210  1  2 97  0  0.03   5.0
2013-10-29 08:01:45: 11  0 3193891 1180082   0   0   0   0    0   0  45 1440 1224  1  3 95  0  0.04   8.1
2013-10-29 08:01:51: 23  0 3193891 1180082   0   0   0   0    0   0   3 222169 103172 40  9 51  0  0.26  51.2
2013-10-29 08:01:57: 8  0 3193891 1180082   0   0   0   0    0   0   1 20234 3238 85  2 13  0  0.47  95.0
2013-10-29 08:02:03: 1  0 3193891 1180082   0   0   0   0    0   0   0 1088 1241  1  2 97  0  0.03   6.0
2013-10-29 08:02:09: 3  0 3193891 1180082   0   0   0   0    0   0   2 7831 1229  7  2 91  0  0.08  16.0
2013-10-29 08:02:15: 3  0 3193891 1180082   0   0   0   0    0   0   2 1203 1234  7  2 91  0  0.08  15.4
2013-10-29 08:02:21: 4  0 3193891 1180082   0   0   0   0    0   0   1 1058 1290  0  1 98  0  0.02   4.0
2013-10-29 08:02:27: 4  0 3193891 1180080   0   0   0   0    0   0   5 1436 1229  8  2 91  0  0.08  15.8
2013-10-29 08:02:33: 4  0 3193891 1180080   0   0   0   0    0   0   0 1029 1179  0  1 98  0  0.02   3.3
2013-10-29 08:02:39: 5  0 3193891 1180069   0   0   0   0    0   0   9 14697 1297 16  2 82  0  0.15  29.8
2013-10-29 08:02:45: 2  0 3193891 1180046   0   0   0   0    0   0  71 10934 1381 36  4 60  0  0.32  63.8
2013-10-29 08:02:51: 15  0 3193891 1180029   0   0   0   0    0   0   6 195462 32480 85  5 11  0  0.71 142.4
2013-10-29 08:02:57: 1  0 3193891 1180029   0   0   0   0    0   0   5 8110 1329 16  2 82  0  0.14  28.5
2013-10-29 08:03:03: 1  0 3193891 1180029   0   0   0   0    0   0   3 7999 1270 12  2 86  0  0.12  23.8
